name,mean commute time,geoid
Appling County,20.7,13001
Atkinson County,21.5,13003
Baldwin County,20.6,13009
Banks County,30.4,13011
Bartow County,27.3,13015
Bryan County,29.3,13029
Bulloch County,20.6,13031
Butts County,29.8,13035
Catoosa County,22.7,13047
Charlton County,28.4,13049
Chattooga County,24.3,13055
Clinch County,20.4,13065
Colquitt County,21.4,13071
Dawson County,32.3,13085
Effingham County,30.7,13103
Elbert County,21.7,13105
Emanuel County,26.5,13107
Fannin County,25.9,13111
Gilmer County,28,13123
Grady County,23.8,13131
Hall County,26,13139
Hancock County,27.7,13141
Haralson County,31.8,13143
Jefferson County,24.5,13163
Jenkins County,21.6,13165
Jones County,27.3,13169
Laurens County,23.2,13175
Liberty County,20.6,13179
Long County,27.4,13183
Lowndes County,19,13185
Lumpkin County,28.6,13187
Macon County,24.9,13193
Madison County,26.8,13195
Meriwether County,30.4,13199
Newton County,31.9,13217
Oglethorpe County,28.8,13221
Peach County,21.9,13225
Rabun County,21,13241
Seminole County,21.9,13253
Spalding County,28.5,13255
Tift County,20.5,13277
Troup County,22,13285
Twiggs County,32.2,13289
Upson County,23.3,13293
Wheeler County,23.9,13309
Baker County,27.9,13007
Berrien County,23.2,13019
Camden County,22.2,13039
Chatham County,21.3,13051
Chattahoochee County,14.6,13053
Clarke County,19.3,13059
Cobb County,30.4,13067
Coffee County,19.7,13069
Cook County,26.3,13075
Crawford County,28.3,13079
Dooly County,21,13093
Early County,24.2,13099
Evans County,21.6,13109
Floyd County,21.6,13115
Forsyth County,30.9,13117
Fulton County,27.4,13121
Glascock County,29.1,13125
Glynn County,18.9,13127
Gordon County,21.9,13129
Greene County,26.1,13133
Habersham County,24.8,13137
Hart County,22.4,13147
Heard County,37.5,13149
Houston County,21.1,13153
Jasper County,35.4,13159
Jeff Davis County,20.8,13161
Johnson County,25.8,13167
Lamar County,31,13171
Lanier County,25.4,13173
Lincoln County,30.9,13181
Miller County,23.9,13201
Oconee County,24.4,13219
Pickens County,29.6,13227
Pike County,35,13231
Pulaski County,21.3,13235
Putnam County,25.9,13237
Quitman County,20.7,13239
Randolph County,19.1,13243
Richmond County,20.4,13245
Rockdale County,31.8,13247
Screven County,30.7,13251
Stephens County,21.5,13257
Talbot County,33.4,13263
Taliaferro County,28.2,13265
Tattnall County,26.3,13267
Telfair County,21.4,13271
Thomas County,20.4,13275
Treutlen County,27.1,13283
Warren County,26.4,13301
Wayne County,22.6,13305
Webster County,27,13307
Wilcox County,27,13315
Wilkinson County,24.1,13319
Bacon County,20.3,13005
Barrow County,32.8,13013
Ben Hill County,16.4,13017
Bibb County,20.7,13021
Bleckley County,25.5,13023
Brantley County,31.6,13025
Brooks County,24,13027
Burke County,25.6,13033
Calhoun County,18.3,13037
Candler County,23.5,13043
Carroll County,27.6,13045
Cherokee County,32.7,13057
Clay County,29.7,13061
Clayton County,30,13063
Columbia County,25,13073
Coweta County,30.5,13077
Crisp County,18.7,13081
Dade County,27.4,13083
Decatur County,23.3,13087
DeKalb County,31.4,13089
Dodge County,24.3,13091
Dougherty County,18.1,13095
Douglas County,31.4,13097
Echols County,25.2,13101
Fayette County,30.8,13113
Franklin County,26.6,13119
Gwinnett County,32.1,13135
Harris County,26.4,13145
Henry County,33.2,13151
Irwin County,21.3,13155
Jackson County,30.7,13157
Lee County,21.3,13177
McDuffie County,25.7,13189
McIntosh County,25.7,13191
Marion County,31.4,13197
Mitchell County,22.1,13205
Monroe County,25.7,13207
Montgomery County,20.5,13209
Morgan County,27.4,13211
Murray County,25.6,13213
Muscogee County,19.6,13215
Paulding County,37.3,13223
Pierce County,27,13229
Polk County,25.9,13233
Schley County,26.8,13249
Stewart County,28.5,13259
Sumter County,20.7,13261
Taylor County,28.7,13269
Terrell County,24.1,13273
Toombs County,20.9,13279
Towns County,18,13281
Turner County,23.9,13287
Union County,23.9,13291
Walker County,26.9,13295
Walton County,31,13297
Ware County,19.2,13299
Washington County,21.3,13303
White County,27.4,13311
Whitfield County,20.3,13313
Wilkes County,24.8,13317
Worth County,27.7,13321